agent_id,condition,case_id,replicate_id,anchor_reference,task_success,failure_reason,trace_classification,false_claim_present_in_instruction,false_claim_read,false_claim_quoted_or_referenced,false_claim_used_in_tool_call,false_claim_encountered_as_obstacle,false_claim_corrected_by_agent,false_claim_ignored_after_reading,task_failed_before_false_claim_mattered,task_failed_because_of_false_claim,task_succeeded_despite_false_claim,causal_role
claude_code,A,81ec58cfed88dd3c,1,.codex/config.toml,False,tests_failed,instruction_read,False,True,True,True,True,False,False,False,False,False,reference_used_and_failed
claude_code,A,81ec58cfed88dd3c,2,.codex/config.toml,False,tests_failed,instruction_read,False,True,True,True,True,False,False,False,False,False,reference_used_and_failed
claude_code,A,81ec58cfed88dd3c,3,.codex/config.toml,False,tests_failed,instruction_read,False,True,True,True,True,False,False,False,False,False,reference_used_and_failed
claude_code,B,81ec58cfed88dd3c,1,.codex/config.toml,False,tests_failed,hallucinated_path,True,True,True,True,False,False,False,False,False,False,false_claim_irrelevant_to_failure
claude_code,B,81ec58cfed88dd3c,2,.codex/config.toml,False,tests_failed,hallucinated_path,True,True,True,True,True,False,False,False,True,False,false_claim_caused_failure
claude_code,B,81ec58cfed88dd3c,3,.codex/config.toml,False,tests_failed,hallucinated_path,True,True,True,True,False,False,False,False,False,False,false_claim_irrelevant_to_failure
claude_code,A,fd797306713f1063,1,@automattic/grid,False,tests_failed,instruction_read,False,True,True,True,False,False,False,False,False,False,reference_used_and_failed
claude_code,A,fd797306713f1063,2,@automattic/grid,False,tests_failed,instruction_read,False,True,True,True,False,False,False,False,False,False,reference_used_and_failed
claude_code,A,fd797306713f1063,3,@automattic/grid,False,tests_failed,instruction_read,False,True,True,True,False,False,False,False,False,False,reference_used_and_failed
claude_code,B,fd797306713f1063,1,@automattic/grid,False,tests_failed,hallucinated_path,True,True,True,True,False,False,False,False,False,False,false_claim_irrelevant_to_failure
claude_code,B,fd797306713f1063,2,@automattic/grid,False,tests_failed,hallucinated_path,True,True,True,True,False,False,False,False,False,False,false_claim_irrelevant_to_failure
claude_code,B,fd797306713f1063,3,@automattic/grid,False,tests_failed,hallucinated_path,True,True,True,True,False,False,False,False,False,False,false_claim_irrelevant_to_failure
claude_code,A,0b8f82bdba65b9df,1,/guide.ts,False,tests_failed,instruction_read,False,True,True,True,False,False,False,False,False,False,reference_used_and_failed
