candidate_id,repo,score,failure_reason,recommended_action,classification,test_command,ecosystem
lbv2_0001,1password/scam,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0002,567-labs/instructor,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0003,567-labs/instructor,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0004,567-labs/instructor,0.7400,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0005,affitor/affiliate-skills,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0006,affitor/affiliate-skills,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0007,agents2agentsai/ata,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0008,agents2agentsai/ata,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0009,agents2agentsai/ata,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0010,agents2agentsai/ata,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0011,agentwrapper/agent-orchestrator,0.6200,baseline_tests_execute: ,add preflight install or fix test cwd before calibration,MINOR_SETUP,go test,go
lbv2_0012,alfanous-team/alfanous,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
lbv2_0013,alfanous-team/alfanous,0.7200,baseline_tests_execute: heuristic: pytest may resolve wrong root without cwd guard,exclude: invalid or missing test command,DROP,pytest,python
