case_id,repository,raw_test_command,normalized_test_command,cwd,classification,exit_code,stderr_excerpt,runtime,failure_class,recommended_action,long_compile,timed_out
d2578b858cfe326f,fixmyberlin/tilda-geo,Vitest,npm test,app,MINOR_SETUP,127,"sh: 1: vitest: not found
",0.059,missing dependency,install deps before agent execution,False,False
3ff980d65c78fd63,agentwrapper/agent-orchestrator,go test,go test ./...,backend,READY,0,"?   	github.com/aoagents/agent-orchestrator/backend	[no test files]
?   	github.com/aoagents/agent-orchestrator/backend/cmd/ao	[no test files]
?   	github.com/aoagents/agent-orchestrator/backend/cmd/genspec	[no test files]
?   	github.com/aoagents/agent-orchestrator/backend/internal/adapters	[no test files]
ok  	github.com/aoagents/agent-orchestrator/backend/internal/adapters/agent/claudecode	(cac",0.407,,proceed to Phase 0/1 execution,False,False
1e1131e99f590b53,vercel/next.js,pytest,PYTHONNOUSERSITE=1 python -m pytest --confcutdir=. --rootdir=.,.,MINOR_SETUP,127,"/bin/sh: 1: python: not found
",0.001,missing dependency,install deps before agent execution,False,False
abced8248ab90fb1,fixmyberlin/tilda-geo,Vitest,npm test,app,MINOR_SETUP,127,"sh: 1: vitest: not found
",0.059,missing dependency,install deps before agent execution,False,False
d5303ea5b426c7be,agentwrapper/agent-orchestrator,go test,go test ./...,backend,READY,0,"?   	github.com/aoagents/agent-orchestrator/backend	[no test files]
?   	github.com/aoagents/agent-orchestrator/backend/cmd/ao	[no test files]
?   	github.com/aoagents/agent-orchestrator/backend/cmd/genspec	[no test files]
?   	github.com/aoagents/agent-orchestrator/backend/internal/adapters	[no test files]
ok  	github.com/aoagents/agent-orchestrator/backend/internal/adapters/agent/claudecode	(cac",0.407,,proceed to Phase 0/1 execution,False,False
6aab689b93e84025,vercel/next.js,pytest,PYTHONNOUSERSITE=1 python -m pytest --confcutdir=. --rootdir=.,.,MINOR_SETUP,127,"/bin/sh: 1: python: not found
",0.001,missing dependency,install deps before agent execution,False,False
150fbfaadda24570,azure/oav,npm test,npm test,.,MINOR_SETUP,127,"sh: 1: tsc: not found
",0.120,missing dependency,install deps before agent execution,False,False
ea5545b3e36e5c4b,alphabitcore/nexus-gateway,go test,go test ./...,packages/agent,READY,0,"ok  	github.com/AlphaBitCore/nexus-gateway/packages/agent/cmd/agent	(cached)
?   	github.com/AlphaBitCore/nexus-gateway/packages/agent/cmd/agent/platformshim	[no test files]
ok  	github.com/AlphaBitCore/nexus-gateway/packages/agent/cmd/agent/wiring	(cached)
?   	github.com/AlphaBitCore/nexus-gateway/packages/agent/cmd/agent-tray	[no test files]
ok  	github.com/AlphaBitCore/nexus-gateway/packages/a",0.545,,proceed to Phase 0/1 execution,False,False
67c22d7f97cdb50d,microsoft/vscode,pytest,PYTHONNOUSERSITE=1 python -m pytest --confcutdir=. --rootdir=.,.,MINOR_SETUP,127,"/bin/sh: 1: python: not found
",0.001,missing dependency,install deps before agent execution,False,False
9040e7f7272a3e24,myriad-dreamin/tinymist,yarn test,yarn test,.,DROP,1,"error Command ""test"" not found.
",0.119,invalid test command,exclude: npm/yarn test script missing,False,False
