case_id,candidate_id,repository,repo_id,ecosystem,commit_sha,anchor_path_true,anchor_path_false,decoy_path,load_bearing_role,calibrated_expected_success,estimated_success_rate,repairability_score,valid_phase0,reviewer_accept,failure_reasons,true_anchor_resolves,false_anchor_not_resolves,false_anchor_plausible,decoy_distinct_from_true,decoy_resolves,lb_by_construction,pb_by_construction,no_task_leak,success_rate_in_band,estimated_success_rate_in_band,repairability_score_present,not_duplicated_repo_path,repo_case_cap,ecosystem_balance_cohort,all_cells_feasible
d2578b858cfe326f,lbv2_0076,fixmyberlin/tilda-geo,6ae141e5471ec8fb,node,b6d9037991f7b133d4e0c93f928ab79c5c32b453,.vscode/settings.json,.vscode/setup.json,.vscode/extensions.json,edit,0.5142,0.6900,3.0000,True,True,,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
3ff980d65c78fd63,lbv2_0011,agentwrapper/agent-orchestrator,709dc9caa5f1ae36,other,718a1b135c0fd39cc59cde839a71c17e9f8be86a,docs/cli/README.md,docs/cli/api.md,docs/status.md,edit,0.4766,0.6900,3.0000,True,True,,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
1e1131e99f590b53,lbv2_0191,vercel/next.js,dcb792d718508bec,python,059edd0b2256f4d0b5a2cb59338a32ec702fae89,.github/pull_request_template.md,.github/pull_request_helper.md,.github/CODEOWNERS,edit,0.5004,0.6900,3.0000,True,True,,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
abced8248ab90fb1,lbv2_0075,fixmyberlin/tilda-geo,6ae141e5471ec8fb,node,b6d9037991f7b133d4e0c93f928ab79c5c32b453,.vscode/extensions.json,.vscode/session.json,.vscode/settings.json,edit,0.5142,0.6900,3.0000,True,True,,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
d5303ea5b426c7be,lbv2_0196,agentwrapper/agent-orchestrator,709dc9caa5f1ae36,other,718a1b135c0fd39cc59cde839a71c17e9f8be86a,backend/internal/httpd/controllers/dto.go,backend/internal/httpd/controllers/api.go,backend/internal/httpd/controllers/projects.go,edit,0.4591,0.5900,3.0000,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6aab689b93e84025,lbv2_0190,vercel/next.js,dcb792d718508bec,python,1c081802bd00f0031de31dc93bbd5b5c042c8848,.github/pull_request_template.md,.github/pull_request_helper.md,.github/CODEOWNERS,edit,0.5004,0.6900,3.0000,True,True,,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
150fbfaadda24570,lbv2_0352,azure/oav,d5d314dafcc3125b,node,2dc4e397bf4355059043be102bf47a9d9627f75e,package.json,facade.json,package-lock.json,edit,0.4717,0.4900,3.0000,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ea5545b3e36e5c4b,lbv2_0028,alphabitcore/nexus-gateway,728eba3dd2de5fd6,other,3de94a131a29dc1cde356ebbdd2fc18103977b16,packages/shared,packages/store,LICENSE,edit,0.4487,0.6900,2.0000,True,True,,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
67c22d7f97cdb50d,lbv2_0160,microsoft/vscode,0d8bce7e29a5cd98,python,da5341960035abab03944ad203c9f74136164c43,src/main.ts,src/api.ts,src/cli.ts,edit,0.4993,0.6900,3.0000,True,True,,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
9040e7f7272a3e24,lbv2_0169,myriad-dreamin/tinymist,4818d222565fc432,node,c1fa2ef973babcd62363b2d0eee9c85b18ec890f,README.md,api.md,AGENTS.md,edit,0.4717,0.6900,3.0000,True,True,,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True
