run_id,case_id,repository,ecosystem,cell_code,test_command,success,failure_class,evidence,preflight_preventable,exclude_case_recommended,recommended_fix
17c9fb0d68bde42be934,d2578b858cfe326f,fixmyberlin/tilda-geo,node,T+L,Vitest,False,missing test runner,"/bin/sh: 1: Vitest: not found // trace shell: cd /home/cesar/papers/artifact-lifecycle-lab/artifact-lifecycle-lab/scratch/rq5v2_d2578b858cfe326f_T_L && ls -a | grep -iE '\.env'; echo ""---parent---""; ls -a .. 2>/dev/null | grep -iE '\.env'; echo ""---env example---""; find . -maxdepth 2 -iname '.env*' -not -path '*/node_modules/*' 2>/dev/null; echo ""---git status of my change---""; git status --short | cd /home/cesar/papers/artifact-",yes,no,replace bare runner with ecosystem entrypoint (e.g. npm test / npx vitest); was `Vitest`
4b2ad9ff25111df1673e,d2578b858cfe326f,fixmyberlin/tilda-geo,node,T+L,Vitest,False,missing test runner,"/bin/sh: 1: Vitest: not found // trace shell: export PATH=""$HOME/.bun/bin:$PATH""; timeout 500 bun run test-run 2>&1 | tail -40 | cd /home/cesar/papers/artifact-lifecycle-lab/artifact-lifecycle-lab/scratch/rq5v2_d2578b858cfe326f_T_L && ls -la .env* app/.env* 2>/dev/null; echo ""--- git status (only my change?) ---""; git status --short; echo ""--- confirm settings.json is only tracked change ---""; git diff --stat | echo ""=== app/.env",yes,no,replace bare runner with ecosystem entrypoint (e.g. npm test / npx vitest); was `Vitest`
03a944ebe7f80903bc75,d2578b858cfe326f,fixmyberlin/tilda-geo,node,T+L,Vitest,False,missing test runner,"/bin/sh: 1: Vitest: not found // trace shell: cd /home/cesar/papers/artifact-lifecycle-lab/artifact-lifecycle-lab/scratch/rq5v2_d2578b858cfe326f_T_L/app; export PATH=""$HOME/.bun/bin:$PATH""; VITE_APP_ENV=production bun run vitest run 2>&1 | grep -A25 ""FAIL\|⎯⎯⎯⎯⎯⎯⎯"" | head -45 | cd /home/cesar/papers/artifact-lifecycle-lab/artifact-lifecycle-lab/scratch/rq5v2_d2578b858cfe326f_T_L; grep -E ""VITE_APP_ORIGIN|VITE_APP_ENV"" .env.exampl",yes,no,replace bare runner with ecosystem entrypoint (e.g. npm test / npx vitest); was `Vitest`
d1a6f4c30f91e676dea1,3ff980d65c78fd63,agentwrapper/agent-orchestrator,other,T+L,go test,False,wrong working directory,"go: cannot find main module, but found .git/config in /home/cesar/papers/artifact-lifecycle-lab/artifact-lifecycle-lab
	to create a module there, run:
	cd ../.. && go mod init // trace shell: ls /home/cesar/papers/artifact-lifecycle-lab/artifact-lifecycle-lab/scratch/rq5v2_3ff980d65c78fd63_T_L/backend/internal/cli/ | cd /home/cesar/papers/artifact-lifecycle-lab/artifact-lifecycle-lab/scratch/rq5v2_3ff980d65c78fd63_T_L/backend && go test ./... 2>&1 | tail -40",yes,no,"run `go test` from Go module root (backend/ or subdir), not repo root"
e664b8c1888596b695d2,3ff980d65c78fd63,agentwrapper/agent-orchestrator,other,T+L,go test,False,wrong working directory,"go: cannot find main module, but found .git/config in /home/cesar/papers/artifact-lifecycle-lab/artifact-lifecycle-lab
	to create a module there, run:
	cd ../.. && go mod init // trace shell: ls /home/cesar/papers/artifact-lifecycle-lab/artifact-lifecycle-lab/scratch/rq5v2_3ff980d65c78fd63_T_L/backend/internal/cli/ | grep -n ""newProjectCommand\|newSpawnCommand\|newSendCommand\|AddCommand"" /home/cesar/papers/artifact-lifecycle-lab/artifact-lifecycle-lab/scratch/rq5v2_3ff980d65c78fd63_T_L/backend/",yes,no,"run `go test` from Go module root (backend/ or subdir), not repo root"
f859b847a188794eb4e3,3ff980d65c78fd63,agentwrapper/agent-orchestrator,other,T+L,go test,False,wrong working directory,"go: cannot find main module, but found .git/config in /home/cesar/papers/artifact-lifecycle-lab/artifact-lifecycle-lab
	to create a module there, run:
	cd ../.. && go mod init // trace shell: ls /home/cesar/papers/artifact-lifecycle-lab/artifact-lifecycle-lab/scratch/rq5v2_3ff980d65c78fd63_T_L/backend/internal/cli/ | cd /home/cesar/papers/artifact-lifecycle-lab/artifact-lifecycle-lab/scratch/rq5v2_3ff980d65c78fd63_T_L/backend && go test ./... 2>&1 | tail -30",yes,no,"run `go test` from Go module root (backend/ or subdir), not repo root"
61797f45f7664ce7a6f5,1e1131e99f590b53,vercel/next.js,python,T+L,pytest,False,wrong working directory,"============================= test session starts ==============================
platform linux -- Python 3.11.15, pytest-8.4.2, pluggy-1.6.0
rootdir: /home/cesar/papers/artifact-lifecycle-lab/artifact-lifecycle-lab
configfile: pyproject.toml
plugins: anyio-4.14.0
collected 0 items

================ // trace shell: which python3.11 python3.10 python3.12 python3.9 2>/dev/null; ls /home/cesar/papers/artifact-lifecycle-lab/artifact-lifecycle-lab/.venv/bin/python* 2>/dev/null; ls /home/cesar/papers/",yes,review,pytest picked up lab root pyproject.toml; constrain cwd to case repo submodule with tests
11d9ca52c1ab8b667bc7,1e1131e99f590b53,vercel/next.js,python,T+L,pytest,False,wrong working directory,"============================= test session starts ==============================
platform linux -- Python 3.11.15, pytest-8.4.2, pluggy-1.6.0
rootdir: /home/cesar/papers/artifact-lifecycle-lab/artifact-lifecycle-lab
configfile: pyproject.toml
plugins: anyio-4.14.0
collected 0 items

================ // trace shell: cd /home/cesar/papers/artifact-lifecycle-lab/artifact-lifecycle-lab && (command -v python3 && python3 -m pytest -q 2>&1 | tail -25) || (command -v pytest && pytest -q 2>&1 | tail -25)",yes,review,pytest picked up lab root pyproject.toml; constrain cwd to case repo submodule with tests
72f223daa517739a980a,1e1131e99f590b53,vercel/next.js,python,T+L,pytest,False,wrong working directory,"============================= test session starts ==============================
platform linux -- Python 3.11.15, pytest-8.4.2, pluggy-1.6.0
rootdir: /home/cesar/papers/artifact-lifecycle-lab/artifact-lifecycle-lab
configfile: pyproject.toml
plugins: anyio-4.14.0
collected 0 items

================ // trace shell: ls -la && git log --oneline -3 | pytest 2>&1 | tail -30 | git diff -- .github/pull_request_template.md",yes,review,pytest picked up lab root pyproject.toml; constrain cwd to case repo submodule with tests
ff1c1cc6b6b660eadf54,abced8248ab90fb1,fixmyberlin/tilda-geo,node,T+L,Vitest,False,missing test runner,"/bin/sh: 1: Vitest: not found // trace shell: export PATH=""$HOME/.bun/bin:$PATH""; bun --version; echo ""--- installing deps (needed to run Vitest) ---""; bun install --frozen-lockfile 2>&1 | tail -20 | export PATH=""$HOME/.bun/bin:$PATH""; bun run test-run 2>&1 | tail -40 | export PATH=""$HOME/.bun/bin:$PATH""; sed -n '1,25p' src/components/shared/utils/getTilesUrl.ts",yes,no,replace bare runner with ecosystem entrypoint (e.g. npm test / npx vitest); was `Vitest`
0ffd9d615c8818e18786,abced8248ab90fb1,fixmyberlin/tilda-geo,node,T+L,Vitest,False,missing test runner,"/bin/sh: 1: Vitest: not found // trace shell: export PATH=""$HOME/.bun/bin:$PATH""; git stash >/dev/null 2>&1; echo ""=== baseline (no change) test run ===""; bun run test-run 2>&1 | grep -E ""Test Files|Tests "" ; git stash pop >/dev/null 2>&1; echo ""restored"" | git --no-pager diff .vscode/extensions.json | git --no-pager diff -- ../.vscode/extensions.json",yes,no,replace bare runner with ecosystem entrypoint (e.g. npm test / npx vitest); was `Vitest`
ffee943c69b1c6f59875,abced8248ab90fb1,fixmyberlin/tilda-geo,node,T+L,Vitest,False,missing test runner,"/bin/sh: 1: Vitest: not found // trace shell: export PATH=""$HOME/.bun/bin:$PATH""; cd /home/cesar/papers/artifact-lifecycle-lab/artifact-lifecycle-lab/scratch/rq5v2_abced8248ab90fb1_T_L/app; VITE_APP_ENV=development bun run test-run 2>&1 | tail -8 | export PATH=""$HOME/.bun/bin:$PATH""; cd /home/cesar/papers/artifact-lifecycle-lab/artifact-lifecycle-lab/scratch/rq5v2_abced8248ab90fb1_T_L/app; VITE_APP_ENV=development bun run test-ru",yes,no,replace bare runner with ecosystem entrypoint (e.g. npm test / npx vitest); was `Vitest`
