candidate_id,repository,reference,instruction_path,role,test_command,compilation_complexity,edited_files_estimate,test_complexity,dependency_depth,historical_failure_rate,composite_difficulty,raw_logistic_success,calibrated_expected_success,calibration_tier,prior_estimated_success_rate,historical_match,recommended_for_pilot
lbv2_0152,langgenius/dify,dify-agent/tests,dify-agent/AGENTS.md,edit,pytest,0.33,0.45,0.19,0.25,1.0,0.4392,0.6038,0.5995,target_band,0.69,repo,True
lbv2_0466,agiflow/aicode-toolkit,.toolkit/settings.yaml,packages/scaffold-mcp/src/instructions/prompts/scaffold-application.md,execute,pytest,0.4,0.27,0.3,0.35,0.875,0.4396,0.603,0.599,target_band,0.67,global,True
lbv2_1017,azure/azure-sdk-tools,src/,packages/python-packages/apiview-copilot/.github/skills/add-endpoint/SKILL.md,execute,pytest,0.4,0.47,0.3,0.125,0.875,0.4396,0.603,0.599,target_band,0.47,global,True
lbv2_1018,azure/azure-sdk-tools,src/,packages/python-packages/apiview-copilot/AGENTS.md,execute,pytest,0.4,0.47,0.3,0.125,0.875,0.4396,0.603,0.599,target_band,0.47,global,True
lbv2_0020,all-hands-ai/openhands,openhands/version.py,.agents/skills/update-sdk/SKILL.md,edit,pytest,0.18,0.32,0.15,0.25,0.875,0.3482,0.7594,0.5982,target_band,0.69,global,True
lbv2_1397,alt-f4-llc/dotfiles.vorpal,src/user/claude-code/agents/team-lead.md,src/user/claude-code/skills/brief/SKILL.md,inspect,pytest,0.18,0.5,0.15,0.625,0.875,0.4406,0.6011,0.5976,target_band,0.48,global,True
lbv2_1398,alt-f4-llc/dotfiles.vorpal,src/user/claude-code/agents/team-lead.md,src/user/codex/skills/brief/SKILL.md,inspect,pytest,0.18,0.5,0.15,0.625,0.875,0.4406,0.6011,0.5976,target_band,0.48,global,True
lbv2_1399,alt-f4-llc/dotfiles.vorpal,src/user/codex/agents/project-manager.toml,.codex/skills/evolve-coherence/SKILL.md,inspect,pytest,0.18,0.5,0.15,0.625,0.875,0.4406,0.6011,0.5976,target_band,0.48,global,True
lbv2_1400,alt-f4-llc/dotfiles.vorpal,src/user/codex/agents/sdet.toml,.codex/skills/evolve-coherence/SKILL.md,inspect,pytest,0.18,0.5,0.15,0.625,0.875,0.4406,0.6011,0.5976,target_band,0.48,global,True
lbv2_0479,alfanous-team/alfanous,src/tests/test_searching.py,.github/copilot-instructions.md,execute,pytest,0.36,0.1,0.07,0.375,0.875,0.349,0.7582,0.5973,target_band,0.67,global,True
lbv2_0487,all-hands-ai/openhands,tests/examples/test_examples.py,AGENTS.md,execute,pytest,0.36,0.1,0.07,0.375,0.875,0.349,0.7582,0.5973,target_band,0.67,global,True
lbv2_0570,communitytoolkit/aspire,eng/testing/generate-test-list-for-workflow.sh,.github/copilot-instructions.md,execute,pytest,0.36,0.1,0.07,0.375,0.875,0.349,0.7582,0.5973,target_band,0.67,global,True
lbv2_0734,modelengine-group/nexent,frontend/services/authService.ts,.cursor/rules/frontend/service_layer_rules.mdc,execute,pytest,0.48,0.2,0.15,0.555,0.875,0.4414,0.5996,0.5966,target_band,0.67,global,True
lbv2_0199,all-hands-ai/openhands,openhands/app_server/sandbox/sandbox_spec_service.py,.agents/skills/update-sdk/references/docker-image-locations.md,edit,pytest,0.36,0.4,0.15,0.5,0.875,0.4422,0.598,0.5955,target_band,0.59,global,True
lbv2_0400,prefecthq/prefect,docs/,.claude/skills/document-changes/SKILL.md,edit,pytest,0.18,1.0,0.15,0.125,0.8333,0.4423,0.5979,0.5954,target_band,0.49,repo,True
lbv2_0403,prefecthq/prefect,examples/,.claude/skills/write-docs/SKILL.md,edit,pytest,0.18,1.0,0.15,0.125,0.8333,0.4423,0.5979,0.5954,target_band,0.49,repo,True
lbv2_0748,prefecthq/prefect,AGENTS.md,.claude/skills/agents-md-sync/SKILL.md,execute,pytest,0.18,1.0,0.15,0.125,0.8333,0.4423,0.5979,0.5954,target_band,0.67,repo,True
lbv2_1193,prefecthq/prefect,benches/,AGENTS.md,execute,pytest,0.18,1.0,0.15,0.125,0.8333,0.4423,0.5979,0.5954,target_band,0.47,repo,True
lbv2_1200,prefecthq/prefect,integration-tests/,integration-tests/AGENTS.md,execute,pytest,0.18,1.0,0.15,0.125,0.8333,0.4423,0.5979,0.5954,target_band,0.47,repo,True
lbv2_1201,prefecthq/prefect,pyproject.toml,client/AGENTS.md,execute,pytest,0.18,1.0,0.15,0.125,0.8333,0.4423,0.5979,0.5954,target_band,0.47,spec,True
lbv2_1202,prefecthq/prefect,pyproject.toml,integration-tests/AGENTS.md,execute,pytest,0.18,1.0,0.15,0.125,0.8333,0.4423,0.5979,0.5954,target_band,0.47,repo,True
lbv2_1474,prefecthq/prefect,docs/,AGENTS.md,inspect,pytest,0.18,1.0,0.15,0.125,0.8333,0.4423,0.5979,0.5954,target_band,0.38,repo,True
lbv2_1507,prefecthq/prefect,integration-tests/,tests/AGENTS.md,execute,pytest,0.18,1.0,0.15,0.125,0.8333,0.4423,0.5979,0.5954,target_band,0.47,repo,True
lbv2_1051,copilotkit/copilotkit,package.json,examples/showcases/open-mcp-client/apps/mcp-use-server/.agent/skills/mcp-apps-builder/SKILL.md,execute,pytest,0.4,0.35,0.3,0.125,1.0,0.443,0.5965,0.5944,target_band,0.47,repo,True
lbv2_0187,prefecthq/prefect,tests/test_settings.py,src/prefect/settings/AGENTS.md,edit,pytest,0.18,1.0,0.07,0.25,0.8333,0.4431,0.5964,0.5943,target_band,0.69,repo,True
lbv2_0752,prefecthq/prefect,integration-tests/test_nested_cancellation.py,integration-tests/AGENTS.md,execute,pytest,0.18,1.0,0.07,0.25,0.8333,0.4431,0.5964,0.5943,target_band,0.67,repo,True
lbv2_0754,prefecthq/prefect,tests/conftest.py,src/prefect/testing/AGENTS.md,execute,pytest,0.18,1.0,0.07,0.25,0.8333,0.4431,0.5964,0.5943,target_band,0.67,repo,True
lbv2_1212,prefecthq/prefect,tests/cli/,src/prefect/cli/AGENTS.md,execute,pytest,0.18,1.0,0.07,0.25,0.8333,0.4431,0.5964,0.5943,target_band,0.47,repo,True
lbv2_0526,automattic/wp-calypso,.mcp.json,.claude/skills/stepper-flow/SKILL.md,execute,pytest,0.33,0.4,0.27,0.225,1.0,0.4454,0.5919,0.5912,target_band,0.67,repo,True
lbv2_0214,alt-f4-llc/dotfiles.vorpal,.claude/skills/evolve-suite/SKILL.md,.claude/skills/evolve-suite/SKILL.md,edit,pytest,0.18,0.55,0.15,0.6,0.875,0.4456,0.5915,0.5909,target_band,0.59,global,True
lbv2_0215,alt-f4-llc/dotfiles.vorpal,.codex/skills/evolve-suite/SKILL.md,.codex/skills/evolve-suite/SKILL.md,edit,pytest,0.18,0.55,0.15,0.6,0.875,0.4456,0.5915,0.5909,target_band,0.59,global,True
lbv2_0372,flarecoding/stelluxos,kernel/arch/x86_64/,.cursor/rules/architecture.md,edit,pytest,0.18,0.75,0.15,0.375,0.875,0.4456,0.5915,0.5909,target_band,0.49,global,True
lbv2_0262,kuberocketci/kuberocketai,.krci-ai/local/tasks/create-github-issues.md,.cursor/rules/krci-ai/po.mdc,edit,pytest,0.18,0.55,0.15,0.6,0.875,0.4456,0.5915,0.5909,target_band,0.59,global,True
lbv2_0263,kuberocketci/kuberocketai,.krci-ai/tasks/devops/create-gitlabci-component.md,.cursor/rules/krci-ai/devops.mdc,edit,pytest,0.18,0.55,0.15,0.6,0.875,0.4456,0.5915,0.5909,target_band,0.59,global,True
lbv2_0264,kuberocketci/kuberocketai,.krci-ai/tasks/devops/create-gitlabci-component.md,.windsurf/rules/devops.md,edit,pytest,0.18,0.55,0.15,0.6,0.875,0.4456,0.5915,0.5909,target_band,0.59,global,True
lbv2_0265,kuberocketci/kuberocketai,.krci-ai/tasks/krci-ai/core-create-agent.md,.cursor/rules/krci-ai/advisor.mdc,edit,pytest,0.18,0.55,0.15,0.6,0.875,0.4456,0.5915,0.5909,target_band,0.59,global,True
lbv2_0266,kuberocketci/kuberocketai,.krci-ai/tasks/krci-ai/core-create-agent.md,.windsurf/rules/advisor.md,edit,pytest,0.18,0.55,0.15,0.6,0.875,0.4456,0.5915,0.5909,target_band,0.59,global,True
lbv2_0267,kuberocketci/kuberocketai,.krci-ai/tasks/krci-ai/core-create-data.md,.cursor/rules/krci-ai/advisor.mdc,edit,pytest,0.18,0.55,0.15,0.6,0.875,0.4456,0.5915,0.5909,target_band,0.59,global,True
lbv2_0268,kuberocketci/kuberocketai,.krci-ai/tasks/krci-ai/core-create-data.md,.windsurf/rules/advisor.md,edit,pytest,0.18,0.55,0.15,0.6,0.875,0.4456,0.5915,0.5909,target_band,0.59,global,True
lbv2_0269,kuberocketci/kuberocketai,.krci-ai/tasks/krci-ai/core-create-task.md,.cursor/rules/krci-ai/advisor.mdc,edit,pytest,0.18,0.55,0.15,0.6,0.875,0.4456,0.5915,0.5909,target_band,0.59,global,True
lbv2_0270,kuberocketci/kuberocketai,.krci-ai/tasks/krci-ai/core-create-task.md,.windsurf/rules/advisor.md,edit,pytest,0.18,0.55,0.15,0.6,0.875,0.4456,0.5915,0.5909,target_band,0.59,global,True
lbv2_0271,kuberocketci/kuberocketai,.krci-ai/tasks/krci-ai/core-create-template.md,.cursor/rules/krci-ai/advisor.mdc,edit,pytest,0.18,0.55,0.15,0.6,0.875,0.4456,0.5915,0.5909,target_band,0.59,global,True
lbv2_0272,kuberocketci/kuberocketai,.krci-ai/tasks/krci-ai/core-create-template.md,.windsurf/rules/advisor.md,edit,pytest,0.18,0.55,0.15,0.6,0.875,0.4456,0.5915,0.5909,target_band,0.59,global,True
lbv2_0390,modelcontextprotocol/servers,src/everything/docs/,src/everything/AGENTS.md,edit,pytest,0.18,0.75,0.15,0.375,0.875,0.4456,0.5915,0.5909,target_band,0.49,global,True
lbv2_0391,modelcontextprotocol/servers,src/everything/prompts/,src/everything/AGENTS.md,edit,pytest,0.18,0.75,0.15,0.375,0.875,0.4456,0.5915,0.5909,target_band,0.49,global,True
lbv2_0392,modelcontextprotocol/servers,src/everything/resources/,src/everything/AGENTS.md,edit,pytest,0.18,0.75,0.15,0.375,0.875,0.4456,0.5915,0.5909,target_band,0.49,global,True
lbv2_1417,1password/scam,tests/,AGENTS.md,inspect,pytest,0.18,0.95,0.07,0.125,1.0,0.4474,0.588,0.5885,target_band,0.38,spec,True
lbv2_1082,falconchristmas/fpp,src/makefiles/platform/,.github/copilot-instructions.md,execute,pytest,0.36,0.55,0.15,0.375,0.875,0.4492,0.5845,0.5861,target_band,0.47,global,True
lbv2_1083,falconchristmas/fpp,src/makefiles/platform/,CLAUDE.md,execute,pytest,0.36,0.55,0.15,0.375,0.875,0.4492,0.5845,0.5861,target_band,0.47,global,True
