rank,repo_id,repo_url,born_stale_count,pct_of_cohort,cumulative_pct
1,c65277d4b7b5f15d,https://github.com/louisshark/chatgpt_system_prompt,2978,16.78,16.78
2,0c6c8a962b287919,https://github.com/jmberesford/retrom,1497,8.44,25.22
3,0d8bce7e29a5cd98,https://github.com/microsoft/vscode,1191,6.71,31.93
4,c6ac6f9616b35ee8,https://github.com/communitytoolkit/aspire,899,5.07,36.99
5,3f33ab9828ac52ad,https://github.com/automattic/wp-calypso,836,4.71,41.7
6,80c1e78b3cbb6701,https://github.com/copilotkit/copilotkit,834,4.7,46.4
7,6ae141e5471ec8fb,https://github.com/fixmyberlin/tilda-geo,802,4.52,50.92
8,79e5b3dcaadc644e,https://github.com/prefecthq/prefect,791,4.46,55.38
9,4b5c2fe87cf3d3b3,https://github.com/alt-f4-llc/dotfiles.vorpal,694,3.91,59.29
10,0e4ba13097809b36,https://github.com/azure/azure-sdk-for-python,548,3.09,62.38
11,728eba3dd2de5fd6,https://github.com/alphabitcore/nexus-gateway,415,2.34,64.72
12,97dcab4759c83fdb,https://github.com/langgenius/dify,405,2.28,67.0
13,1b2e6c6b097e37df,https://github.com/agents2agentsai/ata,390,2.2,69.19
14,ad8952854864b7f2,https://github.com/azure/azure-sdk-tools,369,2.08,71.27
15,dcb792d718508bec,https://github.com/vercel/next.js,344,1.94,73.21
16,c31227c5b77dce67,https://github.com/automattic/newspack-workspace,320,1.8,75.02
17,47f0b3bf26690337,https://github.com/modelengine-group/nexent,317,1.79,76.8
18,13d96f6971fff698,https://github.com/anthropics/claude-code,298,1.68,78.48
19,e916d975160d16b9,https://github.com/pydantic/pydantic-ai,231,1.3,79.78
20,5adfb3da95ff17b6,https://github.com/bitterbot-ai/bitterbot-desktop,218,1.23,81.01
21,ab3194c6a08d7bdc,https://github.com/provenance-emu/provenance,216,1.22,82.23
22,045697c18e22b2e6,https://github.com/datadog/dd-trace-js,215,1.21,83.44
23,7a52cff67ca04110,https://github.com/prismer-ai/prismer,209,1.18,84.62
24,9856eaec5894ba65,https://github.com/azure-samples/art-voice-agent-accelerator,201,1.13,85.75
25,df2612605c42c18a,https://github.com/pbh-btn/peerbanhelper,199,1.12,86.87
26,709dc9caa5f1ae36,https://github.com/agentwrapper/agent-orchestrator,173,0.97,87.85
27,956a087a689baeee,https://github.com/all-hands-ai/openhands,135,0.76,88.61
28,4801516ff573cf43,https://github.com/dagster-io/dagster,133,0.75,89.36
29,5c72626db78858d4,https://github.com/agoric/agoric-sdk,130,0.73,90.09
30,157b059bdfd44153,https://github.com/2030ai/2030ai-claudecode-allecosystem-sync,107,0.6,90.69
31,cb7b3236cdf182bc,https://github.com/checkmk/checkmk,107,0.6,91.29
32,f36aacdb1f7345de,https://github.com/b-m-capital-research/honeclaw,94,0.53,91.82
33,ef64a947957b8d7f,https://github.com/crewaiinc/crewai,88,0.5,92.32
34,4818d222565fc432,https://github.com/myriad-dreamin/tinymist,82,0.46,92.78
35,505f0d234f59678f,https://github.com/browseroperator/browser-operator-core,78,0.44,93.22
36,36d3a1dd1dbdae11,https://github.com/insightsoftwareconsortium/itk,77,0.43,93.66
37,c60b34f108c5e545,https://github.com/prefecthq/fastmcp,74,0.42,94.07
38,1c56c3e814cfed1e,https://github.com/googlecloudplatform/vertex-ai-creative-studio,73,0.41,94.48
39,cce01573548299c4,https://github.com/falconchristmas/fpp,70,0.39,94.88
40,03ff95638105b96a,https://github.com/567-labs/instructor,69,0.39,95.27
41,87071fd400d0446f,https://github.com/nvidia/physicsnemo,66,0.37,95.64
42,c80f9fe166839d30,https://github.com/affitor/affiliate-skills,65,0.37,96.0
43,c5a32632e586ab2c,https://github.com/langchain-ai/langchain,48,0.27,96.28
44,a9863bc6d7aa9dfa,https://github.com/newlifex/newlife.redis,47,0.26,96.54
45,2201521926ce8f58,https://github.com/alfanous-team/alfanous,41,0.23,96.77
46,508ea0cfd549d6b8,https://github.com/continuedev/continue,41,0.23,97.0
