section,maintenance_regime,n_reference_trajectories,n_verifiable_trajectories,p_verified_birth,p_born_stale,birth_integrity_index,p_decay_given_verified,p_repair_given_decay,n_decay_events,n_repair_after_decay,from_state,to_state,count
regime_metrics,human_only,26618,8958,0.1047,0.8953,0.1047,0.0107,0.0,10,0,,,
regime_metrics,agent_assisted,14212,5182,0.3427,0.6573,0.3427,0.0535,0.1789,95,17,,,
regime_metrics,agent_dominated,23084,8024,0.2238,0.7762,0.2238,0.0195,0.2,35,7,,,
regime_metrics,unknown,134,104,0.1058,0.8942,0.1058,0.0,0.0,0,0,,,
state_transition,agent_assisted,,,,,,,,,,DELETED,MISSING,33
state_transition,agent_assisted,,,,,,,,,,DELETED,UNVERIFIABLE,85
state_transition,agent_assisted,,,,,,,,,,DELETED,VERIFIED,15
state_transition,agent_assisted,,,,,,,,,,INIT,MISSING,3580
state_transition,agent_assisted,,,,,,,,,,INIT,UNVERIFIABLE,8844
state_transition,agent_assisted,,,,,,,,,,INIT,VERIFIED,1788
state_transition,agent_assisted,,,,,,,,,,MISSING,DELETED,64
state_transition,agent_assisted,,,,,,,,,,MISSING,MISSING,47833
state_transition,agent_assisted,,,,,,,,,,MISSING,REPAIRED,67
state_transition,agent_assisted,,,,,,,,,,REPAIRED,MISSING,9
state_transition,agent_assisted,,,,,,,,,,REPAIRED,VERIFIED,57
state_transition,agent_assisted,,,,,,,,,,UNVERIFIABLE,DELETED,136
state_transition,agent_assisted,,,,,,,,,,UNVERIFIABLE,UNVERIFIABLE,73437
state_transition,agent_assisted,,,,,,,,,,VERIFIED,DELETED,32
state_transition,agent_assisted,,,,,,,,,,VERIFIED,MISSING,100
state_transition,agent_assisted,,,,,,,,,,VERIFIED,VERIFIED,23299
state_transition,agent_dominated,,,,,,,,,,DELETED,MISSING,140
state_transition,agent_dominated,,,,,,,,,,DELETED,UNVERIFIABLE,185
state_transition,agent_dominated,,,,,,,,,,DELETED,VERIFIED,50
state_transition,agent_dominated,,,,,,,,,,INIT,MISSING,6464
state_transition,agent_dominated,,,,,,,,,,INIT,UNVERIFIABLE,14778
state_transition,agent_dominated,,,,,,,,,,INIT,VERIFIED,1842
state_transition,agent_dominated,,,,,,,,,,MISSING,DELETED,208
state_transition,agent_dominated,,,,,,,,,,MISSING,MISSING,29329
state_transition,agent_dominated,,,,,,,,,,MISSING,REPAIRED,36
state_transition,agent_dominated,,,,,,,,,,REPAIRED,MISSING,6
state_transition,agent_dominated,,,,,,,,,,REPAIRED,VERIFIED,21
state_transition,agent_dominated,,,,,,,,,,UNVERIFIABLE,DELETED,340
state_transition,agent_dominated,,,,,,,,,,UNVERIFIABLE,MISSING,1
state_transition,agent_dominated,,,,,,,,,,UNVERIFIABLE,UNVERIFIABLE,39173
state_transition,agent_dominated,,,,,,,,,,VERIFIED,DELETED,77
state_transition,agent_dominated,,,,,,,,,,VERIFIED,MISSING,35
state_transition,agent_dominated,,,,,,,,,,VERIFIED,UNVERIFIABLE,1
state_transition,agent_dominated,,,,,,,,,,VERIFIED,VERIFIED,6738
state_transition,human_only,,,,,,,,,,DELETED,MISSING,214
state_transition,human_only,,,,,,,,,,DELETED,UNVERIFIABLE,896
state_transition,human_only,,,,,,,,,,DELETED,VERIFIED,28
state_transition,human_only,,,,,,,,,,INIT,MISSING,8198
state_transition,human_only,,,,,,,,,,INIT,UNVERIFIABLE,17459
state_transition,human_only,,,,,,,,,,INIT,VERIFIED,961
state_transition,human_only,,,,,,,,,,MISSING,DELETED,251
state_transition,human_only,,,,,,,,,,MISSING,MISSING,23899
state_transition,human_only,,,,,,,,,,MISSING,REPAIRED,4
state_transition,human_only,,,,,,,,,,REPAIRED,VERIFIED,2
state_transition,human_only,,,,,,,,,,UNVERIFIABLE,DELETED,942
state_transition,human_only,,,,,,,,,,UNVERIFIABLE,UNVERIFIABLE,13391
state_transition,human_only,,,,,,,,,,VERIFIED,DELETED,40
state_transition,human_only,,,,,,,,,,VERIFIED,MISSING,10
state_transition,human_only,,,,,,,,,,VERIFIED,VERIFIED,1580
state_transition,unknown,,,,,,,,,,INIT,MISSING,93
state_transition,unknown,,,,,,,,,,INIT,UNVERIFIABLE,29
state_transition,unknown,,,,,,,,,,INIT,VERIFIED,12
state_transition,unknown,,,,,,,,,,MISSING,MISSING,504
state_transition,unknown,,,,,,,,,,UNVERIFIABLE,UNVERIFIABLE,127
state_transition,unknown,,,,,,,,,,VERIFIED,VERIFIED,52
